noise_type,noise_name,class_name,correct,wrong,total,accuracy
fixed,pink_noise,six,23,77,100,0.23
fixed,pink_noise,stop,13,87,100,0.13
fixed,pink_noise,three,28,72,100,0.28
fixed,pink_noise,tree,10,90,100,0.1
fixed,pink_noise,two,13,87,100,0.13
fixed,pink_noise,up,55,45,100,0.55
fixed,pink_noise,visual,6,94,100,0.06
fixed,pink_noise,wow,33,67,100,0.33
fixed,pink_noise,yes,19,81,100,0.19
fixed,pink_noise,zero,14,86,100,0.14
fixed,running_tap,backward,1,99,100,0.01
fixed,running_tap,bed,9,91,100,0.09
fixed,running_tap,bird,4,96,100,0.04
fixed,running_tap,cat,13,87,100,0.13
fixed,running_tap,dog,3,97,100,0.03
fixed,running_tap,down,0,100,100,0.0
fixed,running_tap,eight,32,68,100,0.32
fixed,running_tap,five,10,90,100,0.1
fixed,running_tap,follow,16,84,100,0.16
fixed,running_tap,forward,1,99,100,0.01
fixed,running_tap,four,36,64,100,0.36
fixed,running_tap,go,3,97,100,0.03
fixed,running_tap,happy,4,96,100,0.04
fixed,running_tap,house,54,46,100,0.54
fixed,running_tap,learn,5,95,100,0.05
fixed,running_tap,left,12,88,100,0.12
fixed,running_tap,marvin,8,92,100,0.08
fixed,running_tap,nine,6,94,100,0.06
fixed,running_tap,no,5,95,100,0.05
fixed,running_tap,off,72,28,100,0.72
fixed,running_tap,on,4,96,100,0.04
fixed,running_tap,one,8,92,100,0.08
fixed,running_tap,right,2,98,100,0.02
fixed,running_tap,seven,10,90,100,0.1
fixed,running_tap,sheila,39,61,100,0.39
fixed,running_tap,six,81,19,100,0.81
fixed,running_tap,stop,14,86,100,0.14
fixed,running_tap,three,27,73,100,0.27
fixed,running_tap,tree,31,69,100,0.31
fixed,running_tap,two,26,74,100,0.26
fixed,running_tap,up,5,95,100,0.05
fixed,running_tap,visual,10,90,100,0.1
fixed,running_tap,wow,16,84,100,0.16
fixed,running_tap,yes,62,38,100,0.62
fixed,running_tap,zero,15,85,100,0.15
fixed,white_noise,backward,0,100,100,0.0
fixed,white_noise,bed,4,96,100,0.04
fixed,white_noise,bird,0,100,100,0.0
fixed,white_noise,cat,0,100,100,0.0
fixed,white_noise,dog,1,99,100,0.01
fixed,white_noise,down,0,100,100,0.0
